,sum_sq,df,F,PR(>F)
DES,2976.1493782730504,1.0,921.7957853991082,1.0847540866093891e-08
Power,0.5693955331236398,1.0,0.1763575465970092,0.6871119706277373
Time,0.21478097994530404,1.0,0.06652361052265279,0.8038857328893837
DES:Power,6.760000000176757,1.0,2.0937589876878833,0.191154908715294
DES:Time,0.02250000000167162,1.0,0.006968872370598454,0.9358071984057387
Power:Time,0.06250000005752294,1.0,0.019357978823596186,0.8932633857895079
I(DES ** 2),2784.2577894743226,1.0,862.3616524555374,1.3675336955272964e-08
I(Power ** 2),1.9756842103571215,1.0,0.6119240491361094,0.459702646006923
I(Time ** 2),0.4867368422729177,1.0,0.15075586362738075,0.7093523017985028
Residual,22.600499999998707,7.0,,
